rfid,nom,prenom,date_naissance,date_embauche,email,telephone,adresse,equipe_id,poste_id,date_id,nom_equipe,description_x,chef_equipe,titre_poste,niveau_competence,description_y,requirements,tenure_years
0396C6AE,Jean,Alice,1985-03-16,2022-03-07,alice.jean@company.com,+33 (0)2 99 02 59 26,"14, chemin Dupuis, 91950 Morvanboeuf",2,1,,Équipe Maintenance,Maintenance des équipements et installations,Marie Lambert,Opérateur,Débutant,Opération des machines de base,Formation technique de base,3.1
04BFE33F,Delahaye,Agathe,1984-03-16,2016-03-08,agathe.delahaye@company.com,05 32 87 85 57,"84, chemin Laure Fernandes, 29107 Giraud",1,5,,Équipe Production,Responsable de la production et fabrication,Jean Dupont,Technicien,Intermédiaire,Réparations et maintenance,2 ans d'expérience minimum,9.1
09601749,Giraud,Colette,2001-03-12,2017-03-08,colette.giraud@company.com,01 34 70 19 98,"boulevard Valérie Lucas, 45906 Millet",6,9,,Équipe Administrative,Gestion administrative et RH,Claire Dubois,Manager,Intermédiaire,Gestion d'équipe et planification,Expérience en management,8.1
0AC9F26A,Hoareau,Guillaume,1978-03-18,2018-03-08,guillaume.hoareau@company.com,04 84 39 08 34,"61, boulevard Gauthier, 86927 Michaud",1,7,,Équipe Production,Responsable de la production et fabrication,Jean Dupont,Ingénieur,Junior,Support technique et analyses,Diplôme d'ingénieur,7.1
0CA0658F,Sanchez,Catherine,1987-03-16,2022-03-07,catherine.sanchez@company.com,+33 (0)4 73 73 91 50,"rue Alves, 40860 Chevallier",4,1,,Équipe Qualité,Contrôle et assurance qualité,Sophie Bernard,Opérateur,Débutant,Opération des machines de base,Formation technique de base,3.1
0DC5889A,Bernard,Noël,1990-03-15,2019-03-08,noël.bernard@company.com,+33 5 63 85 00 25,"76, chemin Maréchal, 71930 Guyot",3,3,,Équipe Logistique,Gestion des stocks et expéditions,Philippe Martin,Opérateur,Expert,Opération et réglage de toutes les machines,3 ans d'expérience minimum,6.1
1BC472EF,Perrin,Auguste,1995-03-14,2021-03-07,auguste.perrin@company.com,+33 3 54 67 71 99,"rue de Leconte, 74924 Saint Christelledan",3,3,,Équipe Logistique,Gestion des stocks et expéditions,Philippe Martin,Opérateur,Expert,Opération et réglage de toutes les machines,3 ans d'expérience minimum,4.1
1F1D0A31,Mace,Capucine,1969-03-20,2018-03-08,capucine.mace@company.com,01 48 99 00 79,"22, rue Christelle Vidal, 06338 Hervé",1,4,,Équipe Production,Responsable de la production et fabrication,Jean Dupont,Technicien,Débutant,Maintenance préventive,Formation technique,7.1
250,dsf,fdsf,2025-04-01,2025-04-01,dsqdf@gmail.com,+216 26653671,dsqfdsq,2,4,757.0,Équipe Maintenance,Maintenance des équipements et installations,Marie Lambert,Technicien,Débutant,Maintenance préventive,Formation technique,0.0
25000550,hichri,med iheb,2000-07-13,2024-06-13,hichri.iheb13@gmail.com,+216 26653671,arina,7,7,1146.0,Équipe Informatique,Support IT et développement,Lucas Moreau,Ingénieur,Junior,Support technique et analyses,Diplôme d'ingénieur,0.8
261B27C2,Hoarau,Stéphane,1998-03-13,2016-03-08,stéphane.hoarau@company.com,+33 7 56 03 07 95,"9, boulevard de Neveu, 13253 Martelnec",2,5,,Équipe Maintenance,Maintenance des équipements et installations,Marie Lambert,Technicien,Intermédiaire,Réparations et maintenance,2 ans d'expérience minimum,9.1
27E1DE9C,Lefèvre,Sylvie,1993-03-14,2025-03-06,sylvie.lefèvre@company.com,0322033004,"58, rue de Adam, 97315 Monnier",6,12,731.0,Équipe Administrative,Gestion administrative et RH,Claire Dubois,Administratif,Senior,Coordination administrative,3 ans d'expérience minimum,0.1
2821E530,Gilles,Maggie,1997-03-13,2025-03-06,maggie.gilles@company.com,+33 2 33 30 87 04,"31, chemin Margaux Robin, 12772 Pereira",3,11,731.0,Équipe Logistique,Gestion des stocks et expéditions,Philippe Martin,Administratif,Junior,Tâches administratives de base,Formation administrative,0.1
28633AB6,Hamon,Madeleine,1973-03-19,2021-03-07,madeleine.hamon@company.com,06 31 33 35 83,"54, rue Gonzalez, 20323 Gauthier",5,10,,Équipe R&D,Recherche et développement,Thomas Petit,Manager,Senior,Direction stratégique,5 ans d'expérience en management,4.1
291C35FA,Étienne,Anaïs,2000-03-12,2023-03-07,anaïs.étienne@company.com,0533242741,"87, avenue de Pierre, 27599 Goncalves",3,3,1.0,Équipe Logistique,Gestion des stocks et expéditions,Philippe Martin,Opérateur,Expert,Opération et réglage de toutes les machines,3 ans d'expérience minimum,2.1
2BD63D84,Legrand,Margaud,1997-03-13,2022-03-07,margaud.legrand@company.com,05 24 89 06 33,"471, rue Lebrun, 66302 Charrier-les-Bains",3,6,,Équipe Logistique,Gestion des stocks et expéditions,Philippe Martin,Technicien,Expert,Dépannage complexe et améliorations,5 ans d'expérience minimum,3.1
